State,Brands,"Selling Price",brand_rank
TELANGANA,NEERUS,11290,1
PONDICHERRY,HIDESIGN,9695,1
DELHI,WOODLAND,4896,1
BIHAR,ANAISA,2159,1
HARYANA,CREEVA,1799,1
KARNATAKA,US-POLO-ASSN,1799,1
GUJARAT,MITERA,1681,1
CHANDIGARH,LOMANI,1450,1
"WEST BENGAL",SANWARA,1169,1
DIU,OXEMBERG,999,1
KERALA,JOHNS,899,1
"DAMAN AND DIU",CELLO,828,1
"MADHYA PRADESH",DENNISON,699,1
MAHARASHTRA,TRIDENT,699,1
"UTTAR PRADESH",STREET-9,645,1
RAJASTHAN,MY-LITTLE-LAMBS,585,1
"TAMIL NADU",DILLINGER,545,1
TAMILNADU,JOLIE-ROBE,519,1
"DADRA & NAGAR HAVELI",ALAN-JONES,499,1
PUNJAB,VIMAL-JONNEY,395,1
