Product,Rating
kitchen-tools,5
floor-lamps,5
feminine-hygiene,4.87
water-bottle,4.8
bibs,4.75
pillow-covers,4.7
mens-grooming-kit,4.7
rompers,4.68
hair-cream-and-mask,4.65
hand-towels,4.65
skin-care-gift-set,4.64
bodysuit,4.63
face-scrub-and-exfoliator,4.62
aprons,4.6
mosquito-nets,4.6
beauty-gift-set,4.6
soft-toys-and-dolls,4.6
makeup-kit,4.6
swim-bottoms,4.6
ties,4.58
body-wash-and-scrub,4.57
body-lotion,4.56
toner,4.56
table-placemats,4.55
makeup-remover,4.55
headband,4.55
sleepsuit,4.54
hair-oil,4.54
cookware,4.53
laundry-bag,4.5
string-lights,4.5
lubricants,4.5
robe,4.5
brooch,4.49
wallets,4.49
highlighter-and-blush,4.49
face-wash-and-cleanser,4.48
clutches,4.47
thermal-tops,4.46
shampoo-and-conditioner,4.46
nail-polish,4.46
lipstick,4.46
yoga-mats,4.45
sunscreen,4.45
hair-brush-and-comb,4.45
hair-serum,4.45
cups-and-mugs,4.44
foundation-and-primer,4.44
handkerchief,4.44
outdoor-masks,4.44
showpieces,4.44
vases,4.43
baby-care-products,4.43
boxers,4.43
lip-care,4.41
bath-towels,4.41
capris,4.41
kajal-and-eyeliner,4.4
bath-rugs,4.4
umbrellas,4.4
bath-accessories,4.4
lip-liner,4.4
body-oil,4.4
hair-gel-and-spray,4.4
harem-pants,4.4
hand-and-feet-cream,4.4
free-gifts,4.4
hand-wash-and-sanitizer,4.4
accessory-gift-set,4.39
leggings,4.39
eyeshadow,4.39
face-moisturisers,4.39
pendant,4.38
fragrance-gift-set,4.38
handbags,4.37
face-serum-and-gel,4.36
wall-art,4.36
hair-colour,4.36
briefs,4.35
gloves,4.35
watch-gift-set,4.35
booties,4.35
lounge-tshirts,4.34
trolley-bag,4.34
pillows,4.34
camisoles,4.34
baby-dolls,4.33
lounge-shorts,4.33
eye-cream,4.33
mask-and-peel,4.32
speakers,4.32
head-jewellery,4.32
night-suits,4.31
perfume-and-body-mist,4.31
bracelet,4.3
compact,4.3
table-covers,4.3
wall-decor,4.3
serveware,4.3
mascara,4.3
facial-kit,4.3
stoles,4.29
shorts,4.29
duffel-bag,4.29
mangalsutra,4.29
deodorant,4.28
backpacks,4.28
socks,4.28
necklace-and-chains,4.28
hair-care-kit,4.28
watches,4.27
earrings,4.27
nightdress,4.27
cushion-covers,4.27
makeup-brushes,4.27
beauty-accessory,4.27
concealer,4.27
tights,4.26
curtains-and-sheers,4.24
organisers,4.24
tshirts,4.23
trunk,4.23
flats,4.23
clothing-set,4.23
dress-material,4.23
dinnerware,4.22
jewellery-set,4.22
innerwear-vests,4.21
boots,4.21
hair-accessory,4.21
sweatshirts,4.2
sweaters,4.2
hair-appliance,4.2
lip-gloss,4.2
bangle,4.2
kitchen-storage,4.2
body-wax-and-essentials,4.2
patiala-and-dupatta,4.2
hanger,4.2
swimwear-accessories,4.2
caps,4.19
blankets-quilts-and-dohars,4.19
ring,4.19
scarves,4.19
waist-pouch,4.19
jeggings,4.18
towel-set,4.18
planters,4.18
sunglasses,4.17
churidar,4.17
stockings,4.17
messenger-bag,4.16
thermal-set,4.15
tops,4.15
dupatta,4.15
sandals,4.15
skirts,4.15
shrug,4.15
bra,4.14
belts,4.14
nehru-jackets,4.14
kurtis,4.13
palazzos,4.13
diwan-set,4.13
anklet,4.13
hat,4.13
jumpsuit,4.12
bed-covers,4.12
lounge-pants,4.11
jackets,4.1
dresses,4.1
tracksuits,4.1
runners,4.1
bedsheets,4.1
nosepin,4.1
bb-and-cc-cream,4.1
track-pants,4.09
heels,4.09
trimmer,4.09
shirts,4.08
chair-cover,4.08
kurtas,4.07
lehenga-choli,4.07
laptop-bag,4.06
kurta-sets,4.05
eyebrow-enhancer,4.05
bath-robe,4.03
rucksacks,4.03
sarees,4.02
trousers,4.02
tunics,4.02
flip-flops,4.01
photo-frames,4
dungarees,4
lingerie-set,4
saree-accessories,4
carpets,4
co-ords,3.99
sports-sandals,3.98
sherwani,3.97
formal-shoes,3.97
saree-blouse,3.97
casual-shoes,3.96
travel-accessory,3.96
jeans,3.95
dhotis,3.93
clocks,3.93
waistcoat,3.92
sports-shoes,3.92
artificial-flowers-and-plants,3.91
face-towels,3.9
shower-curtains,3.9
table-lamps,3.9
nail-essentials,3.9
burqas,3.9
doormats,3.85
swimwear,3.82
coats,3.82
frames,3.82
headphones,3.81
blazers,3.8
salwar,3.8
cushions,3.8
shapewear,3.78
sofa-covers,3.75
bar-and-drinkware,3.7
pyjamas,3.63
action-figures-and-play-set,3.6
suits,3.6
condoms,3.6
wall-lamps,3.55
smart-watches,3.49
toiletry-kit,3.4
massager,3.4
learning-and-development-toys,3.4
candle-holders,3.1
ceiling-lamps,2.5
